[INFO] 2025-04-20T19:25:28.805Z FILE_METRICS_START RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 242.623261177 ms	 ExecutionTag: file_metrics_tag_1745177128804
[INFO] 2025-04-20T19:25:35.042Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1404	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1404	 FilePathLocal: /tmp/files	 FileSize: 3346 bytes	 TransferDuration: 100.35654000000704 ms
[INFO] 2025-04-20T19:25:35.131Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1408	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1408	 FilePathLocal: /tmp/files	 FileSize: 2358 bytes	 TransferDuration: 88.45249999998828 ms
[INFO] 2025-04-20T19:25:35.221Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1410	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1410	 FilePathLocal: /tmp/files	 FileSize: 6196 bytes	 TransferDuration: 90.5882300000087 ms
[INFO] 2025-04-20T19:25:35.309Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1442	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1442	 FilePathLocal: /tmp/files	 FileSize: 3846 bytes	 TransferDuration: 86.91867999999658 ms
[INFO] 2025-04-20T19:25:35.401Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1464	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1464	 FilePathLocal: /tmp/files	 FileSize: 4278 bytes	 TransferDuration: 92.7078599999902 ms
[INFO] 2025-04-20T19:25:35.483Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1480	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1480	 FilePathLocal: /tmp/files	 FileSize: 5848 bytes	 TransferDuration: 81.11584000002381 ms
[INFO] 2025-04-20T19:25:35.586Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1490	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1490	 FilePathLocal: /tmp/files	 FileSize: 5188 bytes	 TransferDuration: 102.68188000000578 ms
[INFO] 2025-04-20T19:25:35.708Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1491	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1491	 FilePathLocal: /tmp/files	 FileSize: 3740 bytes	 TransferDuration: 122.53546899998469 ms
[INFO] 2025-04-20T19:25:35.782Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1518	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1518	 FilePathLocal: /tmp/files	 FileSize: 6084 bytes	 TransferDuration: 72.97370000000569 ms
[INFO] 2025-04-20T19:25:35.921Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1527	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1527	 FilePathLocal: /tmp/files	 FileSize: 6042 bytes	 TransferDuration: 127.36244999999258 ms
[INFO] 2025-04-20T19:25:36.021Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1541	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1541	 FilePathLocal: /tmp/files	 FileSize: 4772 bytes	 TransferDuration: 99.84606999998391 ms
[INFO] 2025-04-20T19:25:36.102Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1591	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1591	 FilePathLocal: /tmp/files	 FileSize: 4656 bytes	 TransferDuration: 80.91149099999484 ms
[INFO] 2025-04-20T19:25:36.202Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1619	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1619	 FilePathLocal: /tmp/files	 FileSize: 3976 bytes	 TransferDuration: 99.46035999999481 ms
[INFO] 2025-04-20T19:25:36.321Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1677	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1677	 FilePathLocal: /tmp/files	 FileSize: 2984 bytes	 TransferDuration: 118.98934100000247 ms
[INFO] 2025-04-20T19:25:36.401Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1678	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1678	 FilePathLocal: /tmp/files	 FileSize: 3992 bytes	 TransferDuration: 79.94743000000426 ms
[INFO] 2025-04-20T19:25:36.502Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1686	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1686	 FilePathLocal: /tmp/files	 FileSize: 6120 bytes	 TransferDuration: 99.86704900001087 ms
[INFO] 2025-04-20T19:25:36.583Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1706	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1706	 FilePathLocal: /tmp/files	 FileSize: 3192 bytes	 TransferDuration: 81.08107999998992 ms
[INFO] 2025-04-20T19:25:36.702Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1762	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1762	 FilePathLocal: /tmp/files	 FileSize: 5202 bytes	 TransferDuration: 118.47550999999612 ms
