[INFO] 2025-04-20T21:45:48.988Z FILE_METRICS_START RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 614.472896783 ms	 ExecutionTag: file_metrics_tag_1745185548987
[INFO] 2025-04-20T21:45:57.014Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1410	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1410	 FilePathLocal: /tmp/files	 FileSize: 6196 bytes	 TransferDuration: 119.75132400004895 ms
[INFO] 2025-04-20T21:45:57.135Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1442	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1442	 FilePathLocal: /tmp/files	 FileSize: 3846 bytes	 TransferDuration: 119.88929599999665 ms
[INFO] 2025-04-20T21:45:57.254Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1464	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1464	 FilePathLocal: /tmp/files	 FileSize: 4278 bytes	 TransferDuration: 119.65908499996658 ms
[INFO] 2025-04-20T21:45:57.374Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1480	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1480	 FilePathLocal: /tmp/files	 FileSize: 5848 bytes	 TransferDuration: 119.85411800003476 ms
[INFO] 2025-04-20T21:45:57.494Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1490	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1490	 FilePathLocal: /tmp/files	 FileSize: 5188 bytes	 TransferDuration: 119.77277100004358 ms
[INFO] 2025-04-20T21:45:57.615Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1491	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1491	 FilePathLocal: /tmp/files	 FileSize: 3740 bytes	 TransferDuration: 119.82058000000961 ms
[INFO] 2025-04-20T21:45:57.734Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1518	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1518	 FilePathLocal: /tmp/files	 FileSize: 6084 bytes	 TransferDuration: 119.69193900006303 ms
[INFO] 2025-04-20T21:45:57.890Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1527	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1527	 FilePathLocal: /tmp/files	 FileSize: 6042 bytes	 TransferDuration: 155.36497499999768 ms
[INFO] 2025-04-20T21:45:57.995Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1541	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1541	 FilePathLocal: /tmp/files	 FileSize: 4772 bytes	 TransferDuration: 104.24230000000989 ms
[INFO] 2025-04-20T21:45:58.114Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1591	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1591	 FilePathLocal: /tmp/files	 FileSize: 4656 bytes	 TransferDuration: 119.71857200001068 ms
[INFO] 2025-04-20T21:45:58.255Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1619	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1619	 FilePathLocal: /tmp/files	 FileSize: 3976 bytes	 TransferDuration: 139.79226100002506 ms
[INFO] 2025-04-20T21:45:58.354Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1677	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1677	 FilePathLocal: /tmp/files	 FileSize: 2984 bytes	 TransferDuration: 99.757478000015 ms
[INFO] 2025-04-20T21:45:58.474Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1678	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1678	 FilePathLocal: /tmp/files	 FileSize: 3992 bytes	 TransferDuration: 119.77310399993257 ms
[INFO] 2025-04-20T21:45:58.614Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1686	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1686	 FilePathLocal: /tmp/files	 FileSize: 6120 bytes	 TransferDuration: 139.7552530000894 ms
[INFO] 2025-04-20T21:45:58.734Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1706	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1706	 FilePathLocal: /tmp/files	 FileSize: 3192 bytes	 TransferDuration: 119.70944699999109 ms
[INFO] 2025-04-20T21:45:58.874Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1762	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1762	 FilePathLocal: /tmp/files	 FileSize: 5202 bytes	 TransferDuration: 139.77337099993292 ms
