[INFO] 2025-04-24T19:16:04.688Z START RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 399 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL866_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL866_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL866_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL866_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL866_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL866_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL866_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL866_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 403 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL877_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL877_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL877_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL877_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL877_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL877_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL877_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL877_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 397 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL942_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL942_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL942_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL942_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 251 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.690Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL942_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL942_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
