[INFO] 2025-04-22T16:16:51.864Z START RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL667_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL667_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL667_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL667_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL667_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL667_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 297 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL667_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL667_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 459 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL680_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL680_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL680_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL680_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL680_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL680_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 305 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL680_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL680_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL680_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL680_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 461 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.865Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL768_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL768_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
