[INFO] 2025-04-20T19:33:44.996Z FILE_METRICS_START RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 S3Key: tree	 Provider: aws_lambda	 StartTime: 138.348863741 ms	 ExecutionTag: file_metrics_tag_1745177624996
[INFO] 2025-04-20T19:33:52.807Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1464.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1464.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 139.67471199998727 ms
[INFO] 2025-04-20T19:33:52.907Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1480.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1480.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.84887600001002 ms
[INFO] 2025-04-20T19:33:53.047Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1490.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 139.66488799999865 ms
[INFO] 2025-04-20T19:33:53.147Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1491.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1491.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.73799200000144 ms
[INFO] 2025-04-20T19:33:53.247Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1518.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1518.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.90405800002122 ms
[INFO] 2025-04-20T19:33:53.367Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1527.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1527.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.70020699999395 ms
[INFO] 2025-04-20T19:33:53.467Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1541.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1541.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.85076600000298 ms
[INFO] 2025-04-20T19:33:53.587Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1591.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1591.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.68634699999825 ms
[INFO] 2025-04-20T19:33:53.687Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1619.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1619.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 99.82052399999475 ms
[INFO] 2025-04-20T19:33:53.807Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1677.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1677.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.77182900000116 ms
