[INFO] 2025-05-03T23:15:44.014Z FILE_METRICS_START RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 644.322883701 ms	 ExecutionTag: file_metrics_tag_1746314144013
[INFO] 2025-05-03T23:15:52.191Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1491	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1491	 FilePathLocal: /tmp/files	 FileSize: 3740 bytes	 TransferDuration: 99.84177900003033 ms
[INFO] 2025-05-03T23:15:52.311Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1518	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1518	 FilePathLocal: /tmp/files	 FileSize: 6084 bytes	 TransferDuration: 119.70434700003807 ms
[INFO] 2025-05-03T23:15:52.431Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1527	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1527	 FilePathLocal: /tmp/files	 FileSize: 6042 bytes	 TransferDuration: 119.87619299998187 ms
[INFO] 2025-05-03T23:15:52.537Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1541	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1541	 FilePathLocal: /tmp/files	 FileSize: 4772 bytes	 TransferDuration: 106.52095199998257 ms
[INFO] 2025-05-03T23:15:52.651Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1591	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1591	 FilePathLocal: /tmp/files	 FileSize: 4656 bytes	 TransferDuration: 113.11184500004856 ms
[INFO] 2025-05-03T23:15:52.771Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1619	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1619	 FilePathLocal: /tmp/files	 FileSize: 3976 bytes	 TransferDuration: 119.72396800001661 ms
[INFO] 2025-05-03T23:15:52.891Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1677	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1677	 FilePathLocal: /tmp/files	 FileSize: 2984 bytes	 TransferDuration: 119.73985499992068 ms
[INFO] 2025-05-03T23:15:52.991Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1678	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1678	 FilePathLocal: /tmp/files	 FileSize: 3992 bytes	 TransferDuration: 99.89054599998326 ms
[INFO] 2025-05-03T23:15:53.111Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1686	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1686	 FilePathLocal: /tmp/files	 FileSize: 6120 bytes	 TransferDuration: 119.89339600006588 ms
[INFO] 2025-05-03T23:15:53.231Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1706	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1706	 FilePathLocal: /tmp/files	 FileSize: 3192 bytes	 TransferDuration: 119.6709619999865 ms
